,Status_Date_UTC,Date_UTC,Status_Time_UTC,Time_UTC,Status_POS_Latitude_WGS84_deg,POS_Latitude_WGS84_deg,Status_POS_Longitude_WGS84_deg,POS_Longitude_WGS84_deg,Status_Altitude_WGS84_m,POS_Altitude_WGS84_m,Status_POS_HeightAGL_m,POS_HeightAGL_m,Status_POS_Heading_deg,POS_Heading_deg,Strength,Distance
40,1,14.01.2022,1,08:39:37.6,1,53.96525,1,9.0797198,1,43.6,1,2.1,1,75.52,57,24.74079030729549
41,1,14.01.2022,1,08:40:08.5,1,53.966417,1,9.0837602,1,44.0,1,2.1,1,63.42,57,24.47244181626063
42,1,14.01.2022,1,08:40:14.1,1,53.966717,1,9.0847772,1,44.1,1,2.1,1,63.96,79,24.40497357113887
43,1,14.01.2022,1,08:40:19.7,1,53.967,1,9.0857548,1,44.2,1,2.1,1,63.92,75,24.340174525387745
44,1,14.01.2022,1,08:40:21.4,1,53.967083,1,9.086048,1,44.2,1,2.1,1,64.19,63,24.32075295578211
45,1,14.01.2022,1,08:41:03.5,1,53.968783,1,9.0917847,1,44.6,1,2.1,1,64.67,57,23.941240474712693
46,1,14.01.2022,1,08:41:36.4,1,53.9698,1,9.0970603,1,44.7,1,2.1,1,150.98,59,23.59429596776317
47,1,14.01.2022,1,08:42:12.1,1,53.96585,1,9.1004632,1,43.8,1,2.1,1,143.51,58,23.382417243041775
48,1,14.01.2022,1,08:50:01.4,1,53.923583,1,9.1710238,1,45.9,1,2.1,1,96.65,53,19.534773457909004
49,1,14.01.2022,1,08:50:26.7,1,53.922917,1,9.180114,1,53.5,1,2.1,1,96.9,54,18.98552662009466
50,1,14.01.2022,1,08:50:29.3,1,53.922867,1,9.1809607,1,55.1,1,2.1,1,96.73,74,18.934129771359995
51,1,14.01.2022,1,08:50:43.8,1,53.922533,1,9.1855918,1,66.4,1,2.1,1,96.74,64,18.65545516745798
52,1,14.01.2022,1,08:50:50.4,1,53.9224,1,9.1876923,1,71.9,1,2.1,1,96.79,66,18.528713031236357
53,1,14.01.2022,1,08:55:59.1,1,53.914833,1,9.2934953,1,43.7,1,2.1,1,90.23,55,12.5132403553115
54,1,14.01.2022,1,08:56:00.9,1,53.914833,1,9.2942088,1,43.7,1,2.1,1,90.24,63,12.473139320511311
55,1,14.01.2022,1,08:56:10.9,1,53.914817,1,9.2981725,1,43.8,1,2.1,1,90.85,60,12.252148663553495
56,1,14.01.2022,1,08:56:14.2,1,53.9148,1,9.2994798,1,43.7,1,2.1,1,90.96,66,12.18028095670345
57,1,14.01.2022,1,08:56:14.5,1,53.9148,1,9.2995987,1,43.7,1,2.1,1,91.02,72,12.173662706385468
58,1,14.01.2022,1,08:56:16.3,1,53.9148,1,9.3003125,1,43.8,1,2.1,1,90.86,62,12.133959964044108
59,1,14.01.2022,1,08:56:17.6,1,53.914783,1,9.3008273,1,43.9,1,2.1,1,90.96,81,12.1063590536919
60,1,14.01.2022,1,08:56:21.5,1,53.914767,1,9.302373,1,43.5,1,2.1,1,91.7,83,12.021593549570849
61,1,14.01.2022,1,08:56:22.9,1,53.91475,1,9.3029272,1,43.5,1,2.1,1,92.14,72,11.991934045096354
62,1,14.01.2022,1,08:56:23.6,1,53.91475,1,9.3032042,1,43.4,1,2.1,1,92.36,82,11.976616778047891
63,1,14.01.2022,1,08:56:26.6,1,53.914717,1,9.3043943,1,43,1,2.1,1,93.04,82,11.912876304620088
64,1,14.01.2022,1,08:56:26.6,1,53.914717,1,9.3043943,1,43,1,2.1,1,93.04,82,11.912876304620088
65,1,14.01.2022,1,08:56:28.7,1,53.914683,1,9.3052272,1,43.1,1,2.1,1,93.42,78,11.869024835779285
